< 자동차 등록현황(총 계) >,,,,,,,,,,,,,,,,,,,,,,
조회년월: 2021.11,,,,,,,,,,,,,,,,,,,,,,
,,,,차 종 별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
,,,,승용다목적형 2000CC미만,398348 ,192048 ,157912 ,238966 ,98855 ,92542 ,86432 ,27137 ,879164 ,117246 ,122890 ,156976 ,134923 ,162870 ,187480 ,242646 ,98204 ,3394639 
,,,,승용다목적형 2500CC미만,129488 ,63133 ,47135 ,69771 ,28068 ,25857 ,38482 ,7722 ,271549 ,38718 ,36066 ,49774 ,40050 ,48993 ,61720 ,76967 ,37065 ,1070558 
,,,,승용다목적형 3000CC미만,68988 ,33764 ,27315 ,39760 ,13547 ,10564 ,9706 ,2896 ,116245 ,16592 ,16842 ,21118 ,17280 ,19488 ,26933 ,31563 ,12239 ,484840 
,,,,승용다목적형 3500CC미만,12717 ,3222 ,2737 ,3602 ,1089 ,1095 ,913 ,343 ,15038 ,1280 ,1111 ,1662 ,1184 ,1392 ,1677 ,2943 ,1678 ,53683 
,,,,승용다목적형 3500CC이상,21558 ,9793 ,5760 ,9860 ,2279 ,2398 ,2986 ,911 ,31097 ,2916 ,3660 ,4415 ,3523 ,3048 ,3952 ,6933 ,4246 ,119335 
,,,,승용다목적형 저속전기,1 ,  ,  ,  ,  ,  ,  ,  ,1 ,  ,  ,  ,  ,  ,  ,  ,  ,2 
,,,,승용다목적형 전기,16307 ,5384 ,6658 ,5216 ,2560 ,3998 ,3025 ,736 ,15845 ,4339 ,3847 ,4427 ,3076 ,3255 ,3912 ,5713 ,7532 ,95830 
,,승용기타형 계,,,163142 ,69900 ,50892 ,113971 ,35396 ,36359 ,23473 ,10393 ,361348 ,40603 ,44439 ,61159 ,44641 ,64943 ,61827 ,89562 ,48305 ,1320353 
,,,,승용기타형 1500CC미만,12128 ,6081 ,4319 ,15532 ,2964 ,3563 ,2262 ,998 ,35770 ,4780 ,4785 ,6612 ,4569 ,6555 ,5497 ,9053 ,3785 ,129253 
,,,,승용기타형 2000CC미만,69198 ,28473 ,24317 ,44513 ,17597 ,16767 ,11138 ,4778 ,162111 ,19498 ,19299 ,25817 ,20732 ,26116 ,29134 ,38761 ,16186 ,574435 
,,,,승용기타형 2500CC미만,59611 ,28234 ,16806 ,45501 ,12090 ,12671 ,8044 ,3736 ,135109 ,13300 ,16883 ,23597 ,15942 ,28146 ,21751 ,34185 ,23470 ,499076 
,,,,승용기타형 3000CC미만,6846 ,2235 ,1538 ,2313 ,893 ,1116 ,751 ,171 ,9405 ,944 ,946 ,1693 ,1232 ,1398 ,2167 ,2616 ,518 ,36782 
,,,,승용기타형 3500CC미만,10656 ,3816 ,1993 ,4404 ,1165 ,1239 ,876 ,466 ,14702 ,1103 ,1527 ,2196 ,1203 ,1729 ,2131 ,3568 ,1955 ,54729 
,,,,승용기타형 3500CC이상,504 ,93 ,76 ,117 ,63 ,57 ,22 ,13 ,642 ,66 ,64 ,97 ,75 ,74 ,96 ,92 ,42 ,2193 
,,,,승용기타형 저속전기,26 ,8 ,11 ,34 ,4 ,19 ,4 ,  ,73 ,11 ,26 ,9 ,2 ,11 ,22 ,6 ,37 ,303 
,,,,승용기타형 전기,4173 ,960 ,1832 ,1557 ,620 ,927 ,376 ,231 ,3536 ,901 ,909 ,1138 ,886 ,914 ,1029 ,1281 ,2312 ,23582 
,승합차 합계,,,,100885 ,40072 ,28934 ,45652 ,18884 ,19120 ,14017 ,4323 ,197292 ,27555 ,28616 ,40097 ,31540 ,38676 ,46613 ,51432 ,18354 ,752062 
,,승합일반형 계,,,96424 ,38410 ,27074 ,43933 ,17677 ,17872 ,13280 ,3887 ,188096 ,25906 ,27058 ,37889 ,30006 ,36960 ,43980 ,48864 ,17811 ,715127 
,,,시내버스,,10751 ,3591 ,1838 ,3697 ,910 ,1078 ,981 ,332 ,3589 ,904 ,985 ,1322 ,1165 ,4960 ,1695 ,2446 ,1249 ,41493 
,,,시외버스,,  ,  ,  ,  ,  ,  ,  ,  ,16892 ,678 ,537 ,835 ,564 ,1717 ,690 ,1421 ,575 ,23909 
,,,전세버스,,2939 ,1751 ,1754 ,3499 ,1346 ,899 ,859 ,125 ,10039 ,1232 ,1988 ,2849 ,2089 ,670 ,2607 ,2853 ,1983 ,39482 
